Date,Eletricity
2023/2/1,6100
2023/2/2,6312
2023/2/3,6240
2023/2/4,4293
2023/2/5,3346
2023/2/6,6390
2023/2/7,6170
2023/2/8,6720
2023/2/9,6850
2023/2/10,7000
2023/2/11,2123
2023/2/12,1344
2023/2/13,5680
2023/2/14,5910
2023/2/15,5950
2023/2/16,6000
2023/2/17,5681
2023/2/18,3743
2023/2/19,660
2023/2/20,5530
2023/2/21,5070
2023/2/22,4810
2023/2/23,4880
2023/2/24,4790
2023/2/25,4078
2023/2/26,1965
2023/2/27,4601
2023/2/28,4531
2023/3/1,4471
2023/3/2,4750
2023/3/3,3963
2023/3/4,1509
2023/3/5,4090
2023/3/6,4001
2023/3/7,3737
2023/3/8,3203
2023/3/9,3312
2023/3/10,935
2023/3/11,2756
2023/3/12,3230
2023/3/13,2702
2023/3/14,2567
2023/3/15,571
2023/3/16,2307
2023/3/17,2230
2023/3/18,1945
2023/3/19,2220
2023/3/20,2041
2023/3/21,2060
2023/3/22,2000
2023/3/23,1821
2023/3/24,1800
2023/3/25,1745
2023/3/26,1023
2023/3/27,2045
2023/3/28,2132
2023/3/29,2345
2023/3/30,2267
